Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;MIN_BPM;MAX_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack;Type
29115;Florida; ;Emotion & Kettu feat. Hex;00:01:46;140,08;140,08;;Medium;6;Renard;Mungyodance 3;single
29116;Florida; ;Emotion & Kettu feat. Hex;00:01:46;140,08;140,08;;Easy;3;Renard;Mungyodance 3;single
29117;Fog City; ;Novasonic;00:01:45;70,00;140,00;;Challenge;13;Renard;Mungyodance 3;single
29118;For You; ;Jaql;00:01:44;67,50;67,50;;Challenge;10;Renard;Mungyodance 3;single
29119;For You; ;Jaql;00:01:44;67,50;67,50;;Hard;7;Renard;Mungyodance 3;single
29120;For You; ;Jaql;00:01:44;67,50;67,50;;Medium;4;Renard;Mungyodance 3;single
29121;For You; ;Jaql;00:01:44;67,50;67,50;;Easy;2;Renard;Mungyodance 3;single
29122;Forever the Same; ;Teranoid;00:01:34;172,00;172,00;;Medium;7;Renard;Mungyodance 3;single
29123;Forever the Same; ;Teranoid;00:01:34;172,00;172,00;;Hard;9;Renard;Mungyodance 3;single
29124;Forever the Same; ;Teranoid;00:01:34;172,00;172,00;;Easy;4;Renard;Mungyodance 3;single
29125;Foul Play in Fun Land; ;Totally Radd!!;00:01:43;143,00;143,00;;Hard;8;Renard;Mungyodance 3;single
29126;Foul Play in Fun Land; ;Totally Radd!!;00:01:43;143,00;143,00;;Challenge;10;Renard;Mungyodance 3;single
29127;Foul Play in Fun Land; ;Totally Radd!!;00:01:43;143,00;143,00;;Medium;5;Renard;Mungyodance 3;single
29128;Foul Play in Fun Land; ;Totally Radd!!;00:01:43;143,00;143,00;;Easy;2;Renard;Mungyodance 3;single
29129;Fox on the Run; ;Touch of Joy;00:01:35;129,98;129,98;;Challenge;10;Renard;Mungyodance 3;single
29130;Fox on the Run; ;Touch of Joy;00:01:35;129,98;129,98;;Hard;9;Renard;Mungyodance 3;single
29131;Fox on the Run; ;Touch of Joy;00:01:35;129,98;129,98;;Medium;5;Renard;Mungyodance 3;single
29132;Fox on the Run; ;Touch of Joy;00:01:35;129,98;129,98;;Easy;3;Renard;Mungyodance 3;single
29133;Freak Empire; ;KoRn + Novasonic Remix;00:02:49;105,00;105,00;;Challenge;10;;Mungyodance 3;single
29134;Freak on a Leash; ;KoRn;00:01:56;52,50;105,00;;Hard;9;Renard;Mungyodance 3;single
29135;Freak on a Leash; ;KoRn;00:01:56;52,50;105,00;;Medium;6;Renard;Mungyodance 3;single
29136;Freak on a Leash; ;KoRn;00:01:56;52,50;105,00;;Easy;3;Renard;Mungyodance 3;single
29137;Free Your Mind; ;CLSM;00:01:52;84,00;168,00;;Challenge;11;Renard;Mungyodance 3;single
29138;Free Your Mind; ;CLSM;00:01:52;84,00;168,00;;Hard;9;Renard;Mungyodance 3;single
29139;Free Your Mind; ;CLSM;00:01:52;84,00;168,00;;Medium;5;Renard;Mungyodance 3;single
29140;Free Your Mind; ;CLSM;00:01:52;84,00;168,00;;Easy;3;Renard;Mungyodance 3;single
29141;Freedom; ;m1dy;00:01:41;400,00;400,00;;Challenge;12;Renard;Mungyodance 3;single
29142;Freedom; ;m1dy;00:01:41;400,00;400,00;;Hard;10;Renard;Mungyodance 3;single
29143;Freedom; ;m1dy;00:01:41;400,00;400,00;;Medium;9;Renard;Mungyodance 3;single
29144;Freedom; ;m1dy;00:01:41;400,00;400,00;;Easy;7;Renard;Mungyodance 3;single
29145;Funky Rhyhtm; ;Jackal Queenston feat. Dean Gamin & Haiku;00:01:31;145,06;145,06;;Challenge;10;Renard;Mungyodance 3;single
29146;Funky Rhyhtm; ;Jackal Queenston feat. Dean Gamin & Haiku;00:01:31;145,06;145,06;;Hard;9;Renard;Mungyodance 3;single
29147;Funky Rhyhtm; ;Jackal Queenston feat. Dean Gamin & Haiku;00:01:31;145,06;145,06;;Medium;6;Renard;Mungyodance 3;single
29148;Funky Rhyhtm; ;Jackal Queenston feat. Dean Gamin & Haiku;00:01:31;145,06;145,06;;Easy;3;Renard;Mungyodance 3;single
29149;Gabba-Bond (Remix); ;Teranoid & MC Natsack;00:01:43;168,00;168,00;;Hard;9;Renard;Mungyodance 3;single
29150;Gabba-Bond (Remix); ;Teranoid & MC Natsack;00:01:43;168,00;168,00;;Medium;7;Renard;Mungyodance 3;single
29151;Gabba-Bond (Remix); ;Teranoid & MC Natsack;00:01:43;168,00;168,00;;Easy;3;Renard;Mungyodance 3;single
29152;Gabba-Bond (Remix); ;Teranoid & MC Natsack;00:01:43;168,00;168,00;;Challenge;10;Renard;Mungyodance 3;single
29153;Get Down to the Drive; ;Yuzo Koshiro;00:01:45;142,99;142,99;;Challenge;10;Renard;Mungyodance 3;single
29154;Get Down to the Drive; ;Yuzo Koshiro;00:01:45;142,99;142,99;;Hard;9;Renard;Mungyodance 3;single
29155;Get Down to the Drive; ;Yuzo Koshiro;00:01:45;142,99;142,99;;Medium;5;Renard;Mungyodance 3;single
29156;Get Down to the Drive; ;Yuzo Koshiro;00:01:45;142,99;142,99;;Easy;3;Renard;Mungyodance 3;single
