Chart_ID|Song_Title|Song_Subtitle|Song_Artist|Song_Length|MIN_BPM|MAX_BPM|Technical_Notation|Difficulty_Name|Difficulty_Rating|Step_Artist|Pack|Type
29668|The Call| |Gammer|103|170,00|170,00| |Medium|6|Renard|Mungyodance 3|single
29669|The Call| |Gammer|103|170,00|170,00| |Easy|3|Renard|Mungyodance 3|single
29670|Concept of Love (Concept of Passion Mix)| |Hideki Naganuma|108|122,00|122,00| |Hard|9|Renard|Mungyodance 3|single
29671|Concept of Love (Concept of Passion Mix)| |Hideki Naganuma|108|122,00|122,00| |Medium|5|Renard|Mungyodance 3|single
29672|Concept of Love (Concept of Passion Mix)| |Hideki Naganuma|108|122,00|122,00| |Easy|3|Renard|Mungyodance 3|single
29673|The Daeva Suite| |Renard feat. Foenix|448|22,51|190,00| |Challenge|14|Copied from Nonstop|Mungyodance 3|single
29674|The Detonator| |Teranoid vs L.E.D.-G|112|173,00|173,00| |Challenge|10|Copied from Renard|Mungyodance 3|single
29675|The Dream Master| |Sonitus Vir x Kitsune²|93|117,03|300,00| |Hard|10|Renard|Mungyodance 3|single
29676|The Dream Master| |Sonitus Vir x Kitsune²|93|117,03|300,00| |Medium|9|Renard|Mungyodance 3|single
29677|The Dream Master| |Sonitus Vir x Kitsune²|93|117,03|300,00| |Easy|6|Renard|Mungyodance 3|single
29678|The Final Daybreak| |Kettu|91|80,00|160,00| |Challenge|10|Copied from Renard|Mungyodance 3|single
29679|The Gay Priest| |Scott El|93|170,00|170,00| |Hard|9|Renard|Mungyodance 3|single
29680|The Gay Priest| |Scott El|93|170,00|170,00| |Challenge|11|Renard|Mungyodance 3|single
29681|The Gay Priest| |Scott El|93|170,00|170,00| |Medium|6|JS|Mungyodance 3|single
29682|The Gay Priest| |Scott El|93|170,00|170,00| |Easy|3|JS|Mungyodance 3|single
29683|The Kumatei| |Jaql|93|70,00|140,00| |Hard|10|Renard|Mungyodance 3|single
29684|The Kumatei| |Jaql|93|70,00|140,00| |Medium|8|Renard|Mungyodance 3|single
29685|The Kumatei| |Jaql|93|70,00|140,00| |Easy|5|Renard|Mungyodance 3|single
29686|The Man I Killed| |NOFX|78|272,39|272,39| |Hard|9|Renard|Mungyodance 3|single
29687|The Man I Killed| |NOFX|78|272,39|272,39| |Challenge|9|Renard|Mungyodance 3|single
29688|The Man I Killed| |NOFX|78|272,39|272,39| |Medium|7|Renard|Mungyodance 3|single
29689|The Man I Killed| |NOFX|78|272,39|272,39| |Easy|4|Renard|Mungyodance 3|single
29690|The Moon Breaks My Day| |Kettu Remix|162|165,00|165,00| |Challenge|10|Copied from Nonstop|Mungyodance 3|single
29691|The Moon Lights My Way| |Kettu|104|165,00|165,00| |Challenge|10|Renard|Mungyodance 3|single
29692|The Moon Lights My Way| |Kettu|104|165,00|165,00| |Hard|9|Renard|Mungyodance 3|single
29693|The Moon Lights My Way| |Kettu|104|165,00|165,00| |Medium|6|Renard|Mungyodance 3|single
29694|The Moon Lights My Way| |Kettu|104|165,00|165,00| |Easy|3|Renard|Mungyodance 3|single
29695|The Original You| |E-Type|111|20,37|81,50| |Challenge|9|pyroko|Mungyodance 3|single
29696|The Original You| |E-Type|111|20,37|81,50| |Medium|4|pyroko|Mungyodance 3|single
29697|The Original You| |E-Type|111|20,37|81,50| |Easy|2|pyroko|Mungyodance 3|single
29698|The Original You| |E-Type|111|20,37|81,50| |Hard|8|Renard|Mungyodance 3|single
29699|The Other Side (MGD Edit)| |Pendulum|113|70,00|140,00| |Hard|9|Renard|Mungyodance 3|single
29700|The Other Side (MGD Edit)| |Pendulum|113|70,00|140,00| |Medium|5|Renard|Mungyodance 3|single
29701|The Other Side (MGD Edit)| |Pendulum|113|70,00|140,00| |Easy|3|Renard|Mungyodance 3|single
29702|The Pink Panther| |DJ Fresh|96|174,00|174,00| |Challenge|11|Renard|Mungyodance 3|single
29703|The Pink Panther| |DJ Fresh|96|174,00|174,00| |Hard|9|Renard|Mungyodance 3|single
29704|The Pink Panther| |DJ Fresh|96|174,00|174,00| |Medium|6|Renard|Mungyodance 3|single
29705|The Pink Panther| |DJ Fresh|96|174,00|174,00| |Easy|4|Renard|Mungyodance 3|single
29706|The Question is What is the Question| |Scooter|101|71,00|142,00| |Hard|8|Renard|Mungyodance 3|single
29707|The Question is What is the Question| |Scooter|101|71,00|142,00| |Challenge|9|Renard|Mungyodance 3|single
29708|The Question is What is the Question| |Scooter|101|71,00|142,00| |Medium|5|Renard|Mungyodance 3|single
29709|The Question is What is the Question| |Scooter|101|71,00|142,00| |Easy|2|Renard|Mungyodance 3|single
29710|The Terror of Death| |DJ Sharpnel|112|190,00|190,00| |Challenge|11|Renard|Mungyodance 3|single
29711|The Terror of Death| |DJ Sharpnel|112|190,00|190,00| |Hard|9|Renard|Mungyodance 3|single
29712|The Terror of Death| |DJ Sharpnel|112|190,00|190,00| |Medium|7|Renard|Mungyodance 3|single
29713|The Terror of Death| |DJ Sharpnel|112|190,00|190,00| |Easy|4|Renard|Mungyodance 3|single
29714|The Vice| |Sonata Arctica|122|90,00|180,00| |Hard|9|Renard|Mungyodance 3|single
29715|The Vice| |Sonata Arctica|122|90,00|180,00| |Medium|6|Renard|Mungyodance 3|single
29716|The Vice| |Sonata Arctica|122|90,00|180,00| |Easy|3|Renard|Mungyodance 3|single
29717|The View From Above| |Bloomin' Nutters|115|170,00|170,00| |Hard|9|Renard|Mungyodance 3|single
29718|The View From Above| |Bloomin' Nutters|115|170,00|170,00| |Medium|6|Renard|Mungyodance 3|single
29719|The View From Above| |Bloomin' Nutters|115|170,00|170,00| |Easy|3|Renard|Mungyodance 3|single
29720|Awesome Powers| |The Thong Mover|96|250,00|250,00| |Hard|9|Renard|Mungyodance 3|single
29721|Awesome Powers| |The Thong Mover|96|250,00|250,00| |Challenge|10|Renard|Mungyodance 3|single
29722|Awesome Powers| |The Thong Mover|96|250,00|250,00| |Medium|7|Renard|Mungyodance 3|single
29723|Awesome Powers| |The Thong Mover|96|250,00|250,00| |Easy|4|Renard|Mungyodance 3|single
29724|Thrillseekers| |Noisia + Phace|104|173,71|173,71| |Hard|9|Renard|Mungyodance 3|single
29725|Thrillseekers| |Noisia + Phace|104|173,71|173,71| |Medium|6|Renard|Mungyodance 3|single
29726|Thrillseekers| |Noisia + Phace|104|173,71|173,71| |Easy|3|Renard|Mungyodance 3|single
29727|Timebomb (CubeHard Remix)| |CLSM|106|168,64|168,64| |Challenge|10|Renard|Mungyodance 3|single
29728|Timebomb (CubeHard Remix)| |CLSM|106|168,64|168,64| |Hard|9|Renard|Mungyodance 3|single
29729|Timebomb (CubeHard Remix)| |CLSM|106|168,64|168,64| |Medium|6|Renard|Mungyodance 3|single
29730|Timebomb (CubeHard Remix)| |CLSM|106|168,64|168,64| |Easy|4|Renard|Mungyodance 3|single
29731|Today's The Day| |Sharkey|118|180,00|180,00| |Challenge|12|Renard|Mungyodance 3|single
29732|Today's The Day| |Sharkey|118|180,00|180,00| |Hard|9|Renard|Mungyodance 3|single
29733|Today's The Day| |Sharkey|118|180,00|180,00| |Medium|7|Renard|Mungyodance 3|single
29734|Today's The Day| |Sharkey|118|180,00|180,00| |Easy|4|Renard|Mungyodance 3|single
29735|Tonight, Tonight| |Wayfinder|123|130,33|130,33| |Hard|7|Renard|Mungyodance 3|single
29736|Tonight, Tonight| |Wayfinder|123|130,33|130,33| |Challenge|9|Renard|Mungyodance 3|single
29737|Tonight, Tonight| |Wayfinder|123|130,33|130,33| |Medium|5|Renard|Mungyodance 3|single
29738|Tonight, Tonight| |Wayfinder|123|130,33|130,33| |Easy|3|Renard|Mungyodance 3|single
29739|Tower of Science| |Neko feat N. Sato|97|77,50|155,00| |Challenge|12|Renard|Mungyodance 3|single
