Chart_ID;Song_Title;Song_Subtitle;Song_Artist;Song_Length;Song_BPM;Technical_Notation;Difficulty_Name;Difficulty_Rating;Step_Artist;Pack
162;GANG; ;Rooler & Sickmode;135;128.000 - 160.000;BXF RH-;Challenge;11;Tidek;Bass Tester EXTREME 2
163;Genesis; ;Sunhiausa;106;100.000 - 200.000;XM-;Beginner;1;Axor;Bass Tester EXTREME 2
164;Genesis; ;Sunhiausa;106;100.000 - 200.000;XM-;Easy;2;Axor;Bass Tester EXTREME 2
165;Genesis; ;Sunhiausa;106;100.000 - 200.000;XM-;Medium;5;Axor;Bass Tester EXTREME 2
166;Genesis; ;Sunhiausa;106;100.000 - 200.000;XM XO-;Hard;7;Axor;Bass Tester EXTREME 2
167;Genesis; ;Sunhiausa;106;100.000 - 200.000;XM XO DT FS- ;Challenge;10;Axor;Bass Tester EXTREME 2
168;HARNAS ICE TEA ALE TO HARDSTYLE; ;Gawryle, CH4;194;150.000000;FK;Beginner;2;Arki;Bass Tester EXTREME 2
169;HARNAS ICE TEA ALE TO HARDSTYLE; ;Gawryle, CH4;194;150.000000;No Tech;Easy;6;Arki;Bass Tester EXTREME 2
170;HARNAS ICE TEA ALE TO HARDSTYLE; ;Gawryle, CH4;194;150.000000;FS+ FK+ JU+ DS- XO- SS-;Medium;8;Arki;Bass Tester EXTREME 2
171;HARNAS ICE TEA ALE TO HARDSTYLE; ;Gawryle, CH4;194;150.000000;FS+ SS XO DS-;Hard;11;Arki;Bass Tester EXTREME 2
172;HARNAS ICE TEA ALE TO HARDSTYLE; ;Gawryle, CH4;194;150.000000;STR B+XF+ BRFS BT-;Challenge;14;Arki;Bass Tester EXTREME 2
173;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM;Beginner;1;Tidek;Bass Tester EXTREME 2
174;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM;Easy;3;Tidek;Bass Tester EXTREME 2
175;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM;Medium;6;Tidek;Bass Tester EXTREME 2
176;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM JU;Hard;8;Tidek;Bass Tester EXTREME 2
177;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM BU XO JU FS- DS-;Challenge;10;Tidek;Bass Tester EXTREME 2
178;HEYYYY SOKOLY;(WIXAPOL ANTHEM);WIXAPOL;139;125.050 - 200.000;XM BXF- JU DS-;Edit;10;Tidek;Bass Tester EXTREME 2
179;HOAX; ;Furyan & Angerfist;180;178.000000;XM-;Beginner;2;Tidek;Bass Tester EXTREME 2
180;HOAX; ;Furyan & Angerfist;180;178.000000;XM-;Easy;5;Tidek;Bass Tester EXTREME 2
181;HOAX; ;Furyan & Angerfist;180;178.000000;XM- JU FS XO-;Medium;8;Tidek;Bass Tester EXTREME 2
182;HOAX; ;Furyan & Angerfist;180;178.000000;XM- JU XO FS;Hard;10;Tidek;Bass Tester EXTREME 2
183;HOAX; ;Furyan & Angerfist;180;178.000000;XM- B+XF BT- SJ-;Challenge;12;Tidek;Bass Tester EXTREME 2
184;Idiot; ;Massive New Krew;160;160.000000;No Tech;Beginner;3;AltVoid;Bass Tester EXTREME 2
185;Idiot; ;Massive New Krew;160;160.000000;DS;Easy;6;AltVoid;Bass Tester EXTREME 2
186;Idiot; ;Massive New Krew;160;160.000000;DR JU;Medium;8;AltVoid;Bass Tester EXTREME 2
187;Idiot; ;Massive New Krew;160;160.000000;BR+ HS;Hard;11;AltVoid;Bass Tester EXTREME 2
188;Idiot; ;Massive New Krew;160;160.000000;BR++ FS MA;Challenge;13;AltVoid;Bass Tester EXTREME 2
189;It's a Dream;(Phrantic remix);Lady Tom;153;155.000000;No Tech;Beginner;1;Tidek;Bass Tester EXTREME 2
190;It's a Dream;(Phrantic remix);Lady Tom;153;155.000000;No Tech;Easy;4;Tidek;Bass Tester EXTREME 2
191;It's a Dream;(Phrantic remix);Lady Tom;153;155.000000;XO;Medium;7;Tidek;Bass Tester EXTREME 2
192;It's a Dream;(Phrantic remix);Lady Tom;153;155.000000;XO BR;Hard;9;Tidek;Bass Tester EXTREME 2
193;It's a Dream;(Phrantic remix);Lady Tom;153;155.000000;STR BXF;Challenge;13;Tidek;Bass Tester EXTREME 2
194;Joe Fight;(Joe Fight Remix);DJ Myosuke;186;205.000000;No Tech;Beginner;3;neyoru;Bass Tester EXTREME 2
195;Joe Fight;(Joe Fight Remix);DJ Myosuke;186;205.000000;JU;Easy;7;neyoru;Bass Tester EXTREME 2
196;Joe Fight;(Joe Fight Remix);DJ Myosuke;186;205.000000;XO JU;Medium;9;neyoru;Bass Tester EXTREME 2
197;Joe Fight;(Joe Fight Remix);DJ Myosuke;186;205.000000;B+XF+ BU BT JA-;Hard;12;neyoru;Bass Tester EXTREME 2
198;Joe Fight;(Joe Fight Remix);DJ Myosuke;186;205.000000;BR++ FS+ DS JA SS BT MA;Challenge;15;neyoru;Bass Tester EXTREME 2
199;Kaibutsu Dance; ;Yuta Imai;187;100.000000 - 200.000000;XM-;Beginner;1;Arki;Bass Tester EXTREME 2
200;Kaibutsu Dance; ;Yuta Imai;187;100.000000 - 200.000000;XM-;Easy;4;AltVoid;Bass Tester EXTREME 2
201;Kaibutsu Dance; ;Yuta Imai;187;100.000000 - 200.000000;XM- XO;Medium;7;AltVoid;Bass Tester EXTREME 2
202;Kaibutsu Dance; ;Yuta Imai;187;100.000000 - 200.000000;XM- BXF HS BT-;Hard;10;Tidek;Bass Tester EXTREME 2
203;Kaibutsu Dance; ;Yuta Imai;187;100.000000 - 200.000000;XM B+XF BT HS BU- RH-;Challenge;12;AltVoid;Bass Tester EXTREME 2
204;KIKIKAIKAI; ;Laur;186;160.000000;No Tech;Beginner;3;Tidek;Bass Tester EXTREME 2
